Species_Code;Species_Name;French_Name;Order;Family;Category;Species_Code_SAMM;SS_Group_OWFSOMM;Group_OWFSOMM;Color
FUATR;Fulica atra;Foulque macroule;Gruiformes;Rallides;ESPECE OISEAU;FULATR;Other bird;Other bird;#acb0bd
COLIV;Columba livia;Pigeon biset;Columbiformes;Columbides;ESPECE OISEAU;COLLIV;Other bird;Other bird;#acb0bd
FULGOE;Fulmarus glacialis/Larus;Fulmar/Goeland;NA;NA;GENRE OISEAU;FULGOE;Other bird;Other bird;#acb0bd
MOALB;Motacilla alba;Bergeronnette grise;Passeriformes;Motacillides;ESPECE OISEAU;MOTALB;Passerine;Other bird;#acb0bd
PASSPP;Passeriforme spp;Passereaux sp;Passeriformes;NA;GENRE OISEAU;PASSER;Passerine;Other bird;#acb0bd
FALSPP;Falconiforme spp;Rapaces sp;Accipitriformes;NA;GENRE OISEAU;FALSPP;Raptor;Other bird;#acb0bd
FATIN;Falco tinnunculus;Faucon crecerelle;Falconiformes;Falconides;ESPECE OISEAU;FALTIN;Raptor;Other bird;#acb0bd
PAHAL;Pandion haliaetus;Balbuzard pecheur;Accipitriformes;Pandionides;ESPECE OISEAU;PANHAL;Raptor;Other bird;#acb0bd
CAALB;Calidris alba;Becasseau sanderling;Charadriiformes;Scolopacides;ESPECE OISEAU;CALALB;Wader;Other bird;#acb0bd
CAALP;Calidris alpina;Becasseau variable;Charadriiformes;Scolopacides;ESPECE OISEAU;CALALP;Wader;Other bird;#acb0bd
CALSPP;Calidris spp;Becasseau sp;Charadriiformes;Scolopacides;GENRE OISEAU;CALSPP;Wader;Other bird;#acb0bd
LIMSPP;Charadriiforme spp;Limicole sp;Charadriiformes;NA;GENRE OISEAU;LIMICO;Wader;Other bird;#acb0bd
HAOST;Haematopus ostralegus;Huitrier pie;Charadriiformes;Haematopodides;ESPECE OISEAU;HAEOST;Wader;Other bird;#acb0bd
NUARQ;Numenius arquata;Courlis cendre;Charadriiformes;Scolopacides;ESPECE OISEAU;NUMARQ;Wader;Other bird;#acb0bd
NUMAXP;Numenius arquata/phaeopus;Courlis cendre/corlieu;Charadriiformes;Scolopacides;GENRE OISEAU;NUMAXP;Wader;Other bird;#acb0bd
PLAPR;Pluvialis apricaria;Pluvier dore;Charadriiformes;Charadriides;ESPECE OISEAU;PLUAPR;Wader;Other bird;#acb0bd
REAVO;Recurvirostra avosetta;Avocette elegante;Charadriiformes;Recurvirostrides;ESPECE OISEAU;RECAVO;Wader;Other bird;#acb0bd
VAVAN;Vanellus vanellus;Vanneau huppe;Charadriiformes;Charadriides;ESPECE OISEAU;VANVAN;Wader;Other bird;#acb0bd
HALGRY;Halichoerus grypus;Phoque gris;Carnivora;Phocidae;MAMMIFERE MARIN;HALGRY;Seal;Seal;#1d4e89
PHOVIT;Phoca vitulina;Phoque veau marin;Carnivora;Phocidae;MAMMIFERE MARIN;PHOVIT;Seal;Seal;#1d4e89
PHOCID;Phocidae sp;Phoque sp;Carnivora;Phocidae;MAMMIFERE MARIN;PHOCID;Seal;Seal;#1d4e89
STPOM;Stercorarius pomarinus;Labbe pomarin;Charadriiformes;Stercorariides;ESPECE OISEAU;STEPOM;Skua;Skua;#c7ad84
STSKU;Stercorarius skua;Grand Labbe;Charadriiformes;Stercorariides;ESPECE OISEAU;CATSKU;Skua;Skua;#c7ad84
STERCO;Stercorarius sp.;Petit labbe sp.;Charadriiformes;Stercorariides;ESPECE OISEAU;STERCO;Skua;Skua;#c7ad84
SKUSPP;Stercorarius/Catharacta  spp;Labbe sp;Charadriiformes;Stercorariides;GENRE OISEAU;SKUSPP;Skua;Skua;#c7ad84
STEHXP;Sterna hirundo/paradisaea;Sterne arctique/pierregarrin;Charadriiformes;Sternides;GENRE OISEAU;STEHXP;Tern;Gull;#7ae582
STEHXS;Sterna hirundo / Thalasseus sandvicensis;Sterne pierregarin/ sterne caugek;Charadriiformes;Sternides;GENRE OISEAU;STEHXS;Tern;Gull;#7ae582
HYDCAS;Hydroprogne caspia;Sterne caspienne;Charadriiformes;Larides;ESPECE OISEAU;HYDCAS;Tern;Gull;#7ae582
STALB;Sternula albifrons;Sterne naine;Charadriiformes;Larides;ESPECE OISEAU;STEALB;Tern;Gull;#7ae582
STHIR;Sterna hirundo;Sterne pierregarin;Charadriiformes;Larides;ESPECE OISEAU;STEHIR;Tern;Gull;#7ae582
STESPP;Sterna spp;Sterne sp;Charadriiformes;Sternides;GENRE OISEAU;STESPP;Tern;Gull;#7ae582
